,t,ticks,u,I
0,12182959,0,0,0
1,12191254,0,0,0
2,12199253,0,0,0
3,12207252,0,0,0
4,12215251,0,0,0
5,12223251,0,0,0
6,12231250,0,0,0
7,12239249,0,1,0
8,12247258,0,1,0
9,12255257,0,2,0
10,12263256,0,2,0
11,12271256,1,3,1
12,12279255,1,3,1
13,12287254,3,4,2
14,12295254,5,5,3
15,12303253,8,5,4
16,12311261,12,6,4
17,12319260,17,7,6
18,12327259,22,8,8
19,12335259,28,9,9
20,12343258,36,10,10
21,12352254,45,11,13
22,12361259,57,12,15
23,12370255,70,13,17
24,12379251,85,14,19
25,12388256,100,16,21
26,12397252,118,17,24
27,12406256,139,18,26
28,12415252,160,20,29
29,12424257,184,21,31
30,12433253,210,23,33
31,12442249,237,24,36
32,12451256,267,26,38
33,12460258,299,27,41
34,12469254,332,29,43
35,12478250,368,31,45
36,12487255,405,32,46
37,12496251,445,34,51
38,12505256,487,36,50
39,12514251,531,37,53
40,12523256,577,39,56
41,12532252,625,41,56
42,12541257,676,43,60
43,12550253,729,45,58
44,12559249,784,46,62
45,12568254,841,48,61
46,12577250,901,50,64
47,12586254,963,52,64
48,12595259,1027,54,65
49,12604255,1094,55,65
50,12613251,1163,57,64
51,12622255,1234,59,65
52,12631251,1307,61,65
53,12640256,1383,62,64
54,12649252,1461,64,65
55,12658257,1542,66,62
56,12667253,1625,68,61
57,12676257,1710,69,63
58,12685254,1798,71,63
59,12694258,1888,72,63
60,12703254,1980,74,61
61,12712250,2074,76,57
62,12721255,2170,77,59
63,12730251,2269,79,58
64,12739256,2370,80,55
65,12748252,2472,81,54
66,12757256,2578,83,47
67,12766252,2684,84,52
68,12775257,2793,85,49
69,12784261,2904,87,48
70,12793258,3016,88,46
71,12802253,3131,89,43
72,12811258,3247,90,38
73,12820263,3365,91,38
74,12829259,3484,92,35
75,12838255,3605,93,35
76,12847261,3728,94,32
77,12856256,3852,95,32
78,12865260,3977,95,30
79,12874256,4104,96,29
80,12883261,4232,97,29
81,12892257,4361,97,24
82,12901253,4491,98,25
83,12910258,4622,98,25
84,12919254,4753,99,23
85,12928258,4886,99,19
86,12937254,5019,99,21
87,12946259,5152,99,22
88,12955255,5286,99,17
89,12964260,5420,99,21
90,12973256,5554,99,18
91,12982251,5688,99,20
92,12991256,5823,99,18
93,13000252,5958,99,20
94,13009257,6092,99,14
95,13018253,6227,98,16
96,13027257,6361,98,14
97,13036253,6495,98,16
98,13045258,6629,97,14
99,13054254,6762,97,13
100,13063259,6895,96,15
101,13072255,7027,95,12
102,13081260,7158,94,14
103,13090255,7288,94,13
104,13099260,7418,93,13
105,13108256,7545,92,12
106,13117263,7672,91,14
107,13126258,7798,90,15
108,13135262,7922,89,15
109,13144258,8045,88,17
110,13153264,8166,86,17
111,13162258,8286,85,20
112,13171254,8404,84,18
113,13180259,8520,82,20
114,13189257,8634,81,21
115,13198259,8746,80,21
116,13207255,8857,78,24
117,13216251,8965,77,23
118,13225256,9070,75,28
119,13234252,9174,74,29
120,13243257,9276,72,32
121,13252253,9375,70,31
122,13261257,9472,69,33
123,13270253,9567,67,37
124,13279250,9659,65,38
125,13288254,9750,64,39
126,13297250,9837,62,38
127,13306255,9923,60,42
128,13315251,10006,58,41
129,13324256,10086,57,42
130,13333252,10164,55,46
131,13342256,10240,53,42
132,13351252,10314,51,42
133,13360248,10385,50,42
134,13369253,10453,48,44
135,13378249,10519,46,41
136,13387254,10583,44,43
137,13396249,10644,42,42
138,13405254,10703,41,43
139,13414259,10760,39,41
140,13423255,10814,37,41
141,13432251,10866,35,40
142,13441255,10916,34,39
143,13450252,10964,32,38
144,13459256,11009,30,34
145,13468252,11051,29,36
146,13477257,11092,27,34
147,13486253,11130,25,33
148,13495257,11167,24,31
149,13504254,11202,22,29
150,13513249,11234,21,27
151,13522254,11264,19,25
152,13531250,11293,18,24
153,13540255,11319,17,22
154,13549251,11344,15,20
155,13558255,11366,14,18
156,13567260,11386,13,16
157,13576256,11405,11,15
158,13585252,11422,10,12
159,13594257,11438,9,12
160,13603253,11452,8,9
161,13612257,11465,7,8
162,13621262,11477,6,7
163,13630258,11487,5,6
164,13639254,11495,5,5
165,13648259,11502,4,4
166,13657255,11509,3,2
167,13666260,11514,2,2
168,13675256,11517,2,0
169,13684251,11520,1,1
170,13693256,11522,1,0
171,13702252,11523,1,0
172,13711257,11523,0,0
173,13720253,11523,0,0
174,13729257,11523,0,0
175,13738254,11523,0,0
176,13747258,11523,0,0
177,13756254,11523,0,0
178,13765250,11523,0,0
179,13774255,11523,0,0
180,13783251,11523,0,0
181,13792255,11523,0,0
182,13801252,11523,0,0
183,13810256,11523,1,0
184,13819252,11523,1,0
185,13828257,11523,2,1
186,13837253,11523,2,0
187,13846258,11523,3,2
188,13855254,11525,4,1
189,13864258,11527,4,3
190,13873254,11530,5,4
191,13882259,11534,6,5
192,13891255,11539,7,6
193,13900260,11545,8,8
194,13909255,11552,9,10
195,13918260,11561,10,12
196,13927256,11572,11,14
197,13936261,11584,12,15
198,13945257,11598,14,18
199,13954253,11613,15,19
200,13963258,11630,16,23
201,13972253,11649,18,25
202,13981249,11670,19,27
203,13990254,11693,20,30
204,13999250,11718,22,31
205,14008255,11744,23,34
206,14017251,11773,25,37
207,14026255,11804,26,40
208,14035251,11836,28,42
209,14044256,11871,30,45
210,14053252,11907,31,48
211,14062257,11946,33,50
212,14071253,11987,35,51
213,14080249,12031,37,53
214,14089254,12076,38,55
215,14098258,12124,40,56
216,14107254,12173,42,60
217,14116250,12225,44,60
218,14125255,12279,45,60
219,14134251,12335,47,62
220,14143255,12394,49,64
221,14152252,12455,51,64
222,14161256,12518,53,65
223,14170254,12584,54,66
224,14179257,12652,56,64
225,14188253,12722,58,68
226,14197258,12795,60,65
227,14206254,12870,61,66
228,14215250,12947,63,65
229,14224254,13026,65,64
230,14233250,13108,67,64
231,14242255,13193,68,63
232,14251251,13279,70,64
233,14260256,13368,72,60
234,14269252,13459,73,60
235,14278256,13552,75,56
236,14287252,13648,76,58
237,14296257,13745,78,56
238,14305253,13845,79,53
239,14314258,13947,81,52
240,14323254,14051,82,49
241,14332258,14157,83,52
242,14341254,14265,85,46
243,14350259,14375,86,47
244,14359255,14487,87,42
245,14368260,14600,88,39
246,14377255,14716,89,39
247,14386260,14833,91,44
248,14395257,14952,92,40
249,14404261,15073,92,37
250,14413257,15194,93,36
251,14422262,15318,94,36
252,14431257,15443,95,31
253,14440264,15569,96,31
254,14449260,15696,96,28
255,14458263,15824,97,29
256,14467259,15954,97,27
257,14476255,16084,98,27
258,14485259,16216,98,25
259,14494256,16348,99,24
260,14503252,16481,99,26
261,14512256,16614,99,22
262,14521261,16748,99,24
263,14530257,16882,99,20
264,14539253,17016,99,21
265,14548258,17151,99,18
266,14557254,17286,99,19
267,14566258,17421,99,19
268,14575254,17555,99,15
269,14584259,17690,99,16
270,14593255,17825,98,13
271,14602251,17959,98,15
272,14611256,18093,97,12
273,14620260,18227,97,14
274,14629256,18360,96,14
275,14638261,18493,96,12
276,14647257,18624,95,14
277,14656262,18755,94,13
278,14665257,18886,93,15
279,14674254,19015,92,12
280,14683260,19143,91,16
281,14692254,19269,90,15
282,14701260,19394,89,16
283,14710255,19518,88,17
284,14719260,19640,87,15
285,14728256,19760,86,13
286,14737251,19879,85,15
287,14746256,19996,83,18
288,14755252,20112,82,18
289,14764257,20225,80,22
290,14773253,20336,79,22
291,14782258,20446,78,25
292,14791254,20553,76,23
293,14800258,20658,75,26
294,14809254,20762,73,28
295,14818250,20862,71,28
296,14827255,20961,70,34
297,14836251,21057,68,32
298,14845256,21151,66,35
299,14854252,21242,65,35
300,14863256,21332,63,39
301,14872252,21419,61,38
302,14881248,21503,59,38
303,14890253,21585,58,43
304,14899249,21665,56,40
305,14908254,21742,54,43
306,14917250,21817,52,43
307,14926254,21889,50,44
308,14935250,21959,49,44
309,14944255,22027,47,43
310,14953259,22092,45,46
311,14962255,22155,43,43
312,14971251,22215,42,46
313,14980256,22273,40,42
314,14989252,22328,38,44
315,14998257,22382,36,41
316,15007253,22433,35,42
317,15016258,22482,33,40
318,15025254,22528,31,37
319,15034251,22572,29,38
320,15043254,22614,28,35
321,15052250,22653,26,35
322,15061255,22691,25,32
323,15070251,22727,23,31
324,15079256,22760,22,26
325,15088251,22791,20,26
326,15097256,22821,19,24
327,15106252,22848,17,23
328,15115257,22873,16,21
329,15124253,22896,15,19
330,15133257,22918,13,17
331,15142253,22938,12,14
332,15151258,22956,11,15
333,15160254,22973,10,12
334,15169259,22988,9,10
335,15178255,23002,8,9
336,15187260,23013,7,8
337,15196255,23024,6,6
338,15205260,23033,5,4
339,15214256,23041,4,5
340,15223252,23048,3,3
341,15232257,23054,3,2
342,15241253,23058,2,1
343,15250257,23061,2,1
344,15259254,23063,1,0
345,15268249,23064,1,0
346,15277254,23064,0,0
347,15286250,23064,0,0
348,15295255,23064,0,0
349,15304251,23064,0,0
350,15313256,23064,0,0
351,15322251,23064,0,0
352,15331256,23064,0,0
353,15340252,23064,0,0
354,15349257,23064,0,0
355,15358253,23064,0,0
356,15367258,23064,0,0
357,15376254,23064,1,0
358,15385249,23064,1,0
359,15394254,23064,1,0
360,15403259,23064,2,0
361,15412255,23065,3,0
362,15421260,23066,3,2
363,15430255,23067,4,2
364,15439260,23070,5,3
365,15448256,23073,6,4
366,15457252,23078,6,6
367,15466257,23084,7,6
368,15475253,23090,8,10
369,15484257,23099,9,10
370,15493254,23109,11,12
371,15502258,23120,12,15
372,15511254,23133,13,17
373,15520250,23148,14,20
374,15529255,23164,15,20
375,15538251,23182,17,24
376,15547256,23202,18,26
377,15556251,23224,20,28
378,15565256,23248,21,31
379,15574252,23273,23,34
380,15583257,23301,24,36
381,15592253,23331,26,37
382,15601249,23362,27,41
383,15610253,23396,29,43
384,15619249,23431,31,47
385,15628254,23469,32,47
386,15637250,23509,34,49
387,15646255,23551,36,51
388,15655251,23595,37,54
389,15664255,23642,39,54
390,15673252,23690,41,57
391,15682256,23741,43,59
392,15691252,23793,44,58
393,15700257,23849,46,62
394,15709253,23907,48,60
395,15718249,23967,50,64
396,15727253,24029,52,61
397,15736250,24093,53,64
398,15745254,24160,55,64
399,15754250,24229,57,64
400,15763255,24301,59,68
401,15772251,24374,61,67
402,15781256,24451,62,68
403,15790251,24529,64,66
404,15799256,24610,66,68
405,15808252,24693,67,64
406,15817258,24778,69,65
407,15826253,24866,71,62
408,15835258,24956,72,63
409,15844254,25048,74,62
410,15853258,25142,75,59
411,15862254,25239,77,57
412,15871250,25338,79,56
413,15880255,25439,80,56
414,15889251,25542,81,52
415,15898256,25646,83,52
416,15907251,25754,84,47
417,15916256,25863,85,48
418,15925261,25974,87,46
419,15934258,26086,88,47
420,15943253,26201,89,43
421,15952258,26317,90,39
422,15961262,26435,91,40
423,15970258,26555,92,37
424,15979254,26676,93,35
425,15988259,26798,94,33
426,15997255,26922,95,32
427,16006259,27048,95,31
428,16015257,27174,96,27
429,16024260,27302,97,28
430,16033256,27431,97,25
431,16042263,27561,98,26
432,16051257,27691,98,24
433,16060253,27823,99,25
434,16069258,27955,99,23
435,16078254,28088,99,21
436,16087258,28222,99,24
437,16096254,28356,99,22
438,16105259,28491,99,19
439,16114255,28625,99,17
440,16123260,28760,99,19
441,16132256,28895,99,17
442,16141252,29030,99,20
443,16150256,29165,99,16
444,16159252,29300,99,18
445,16168257,29435,98,16
446,16177253,29569,98,15
447,16186258,29703,97,17
448,16195262,29837,97,11
449,16204258,29970,96,15
450,16213254,30102,95,10
451,16222259,30234,94,14
452,16231255,30364,94,10
453,16240259,30494,93,12
454,16249257,30623,92,10
455,16258260,30750,91,15
456,16267257,30876,90,8
457,16276262,31001,89,14
458,16285257,31124,88,12
459,16294253,31246,86,16
460,16303257,31366,85,15
461,16312253,31484,84,19
462,16321260,31600,83,20
463,16330254,31715,81,21
464,16339259,31828,80,25
465,16348255,31938,78,24
466,16357251,32047,77,26
467,16366256,32154,75,27
468,16375252,32258,74,30
469,16384256,32360,72,31
470,16393252,32460,71,34
471,16402257,32558,69,36
472,16411253,32653,67,34
473,16420257,32746,66,38
474,16429253,32837,64,40
475,16438258,32925,62,35
476,16447254,33010,60,38
477,16456250,33094,59,40
478,16465255,33175,57,39
479,16474251,33254,55,42
480,16483255,33330,53,41
481,16492252,33403,51,42
482,16501256,33474,50,44
483,16510252,33543,48,42
484,16519248,33610,46,45
485,16528253,33674,44,43
486,16537258,33735,42,44
487,16546254,33794,41,41
488,16555250,33851,39,43
489,16564254,33905,37,41
490,16573250,33957,35,41
491,16582255,34007,34,40
492,16591251,34054,32,37
493,16600256,34099,30,38
494,16609251,34142,29,35
495,16618256,34183,27,35
496,16627252,34221,25,33
497,16636257,34258,24,31
498,16645253,34292,22,29
499,16654249,34324,21,27
500,16663253,34354,19,27
501,16672249,34382,18,24
502,16681254,34408,17,22
503,16690250,34432,15,20
504,16699255,34455,14,18
505,16708260,34476,13,18
506,16717255,34495,12,14
507,16726260,34512,10,13
508,16735256,34528,9,11
509,16744252,34542,8,10
510,16753257,34554,7,9
511,16762262,34565,6,7
512,16771258,34575,5,6
513,16780253,34583,5,5
514,16789258,34590,4,4
515,16798254,34596,3,2
516,16807259,34600,3,2
517,16816255,34604,2,0
518,16825251,34606,1,1
519,16834256,34607,1,0
520,16843252,34608,1,0
521,16852256,34608,0,0
522,16861252,34608,0,0
523,16870257,34608,0,0
524,16879253,34608,0,0
525,16888257,34608,0,0
526,16897253,34608,0,0
527,16906250,34608,0,0
528,16915254,34608,0,0
529,16924250,34608,0,0
530,16933255,34608,0,0
531,16942251,34608,0,0
532,16951256,34608,1,0
533,16960252,34608,1,0
534,16969256,34608,2,1
535,16978252,34608,2,0
536,16987257,34608,3,2
537,16996253,34609,4,2
538,17005258,34612,4,3
539,17014254,34615,5,4
540,17023258,34619,6,5
541,17032254,34624,7,6
542,17041259,34631,8,8
543,17050255,34638,9,8
544,17059260,34647,10,11
545,17068255,34658,11,13
546,17077260,34670,12,16
547,17086256,34684,13,17
548,17095252,34699,15,20
549,17104248,34717,16,23
550,17113253,34736,17,23
551,17122257,34757,19,27
552,17131254,34780,20,29
553,17140258,34804,22,33
554,17149254,34831,23,34
555,17158250,34859,25,38
556,17167255,34890,26,39
557,17176251,34922,28,43
558,17185256,34956,30,44
559,17194251,34992,31,48
560,17203256,35031,33,49
561,17212252,35072,35,50
562,17221248,35115,36,54
563,17230255,35161,38,55
564,17239258,35208,40,57
565,17248254,35258,42,59
566,17257249,35310,43,59
567,17266254,35364,45,62
568,17275250,35421,47,62
569,17284255,35480,49,64
570,17293251,35541,51,64
571,17302256,35604,52,65
572,17311251,35670,54,64
573,17320256,35738,56,67
574,17329252,35808,58,64
575,17338257,35881,60,66
576,17347253,35956,61,63
577,17356258,36034,63,67
578,17365254,36113,65,64
579,17374258,36195,67,63
580,17383254,36279,68,64
581,17392259,36366,70,62
582,17401255,36455,71,60
583,17410251,36546,73,63
584,17419255,36640,75,58
585,17428252,36735,76,56
586,17437256,36833,78,55
587,17446252,36933,79,56
588,17455248,37035,81,53
589,17464253,37139,82,53
590,17473258,37246,83,54
591,17482253,37354,85,51
592,17491258,37464,86,50
593,17500263,37576,87,47
594,17509259,37690,88,42
595,17518263,37806,89,41
596,17527259,37923,90,39
597,17536256,38042,91,38
598,17545260,38163,92,38
599,17554256,38284,93,34
600,17563261,38408,94,37
601,17572257,38533,95,32
602,17581261,38659,96,33
603,17590258,38786,96,29
604,17599262,38915,97,29
605,17608258,39045,97,29
606,17617254,39175,98,24
607,17626261,39307,98,24
608,17635255,39439,99,22
609,17644251,39571,99,22
610,17653256,39705,99,19
611,17662251,39838,99,21
612,17671256,39972,99,18
613,17680252,40107,99,19
614,17689257,40241,99,19
615,17698253,40376,99,17
616,17707257,40511,99,20
617,17716253,40646,99,18
618,17725258,40781,99,18
619,17734254,40916,98,17
620,17743259,41051,98,18
621,17752255,41185,97,15
622,17761261,41319,97,14
623,17770255,41451,96,15
624,17779260,41584,96,14
625,17788256,41716,95,13
626,17797261,41847,94,12
627,17806257,41978,93,14
628,17815262,42107,92,12
629,17824258,42235,91,14
630,17833254,42362,90,12
631,17842258,42487,89,15
632,17851263,42611,88,13
633,17860259,42733,87,17
634,17869255,42854,86,18
635,17878259,42973,85,17
636,17887256,43090,83,19
637,17896251,43206,82,18
638,17905256,43319,81,22
639,17914252,43431,79,20
640,17923257,43541,78,24
641,17932253,43648,76,26
642,17941258,43753,75,28
643,17950253,43857,73,31
644,17959249,43958,71,30
645,17968254,44057,70,32
646,17977259,44153,68,32
647,17986255,44248,66,38
648,17995251,44339,65,37
649,18004255,44429,63,38
650,18013252,44516,61,40
651,18022256,44601,60,41
652,18031252,44683,58,42
653,18040257,44763,56,45
654,18049254,44840,54,44
655,18058258,44915,52,45
656,18067255,44988,51,45
657,18076250,45058,49,43
658,18085254,45126,47,47
659,18094250,45191,45,44
660,18103255,45254,43,47
661,18112251,45315,42,42
662,18121256,45373,40,42
663,18130252,45429,38,40
664,18139256,45482,36,41
665,18148252,45533,35,40
666,18157248,45582,33,36
667,18166253,45628,31,38
668,18175249,45672,30,36
669,18184254,45714,28,34
670,18193250,45753,26,34
671,18202254,45791,25,30
672,18211250,45826,23,30
673,18220255,45860,22,28
674,18229251,45891,20,27
675,18238256,45920,19,25
676,18247251,45947,17,24
677,18256256,45973,16,21
678,18265252,45996,15,20
679,18274257,46018,13,17
680,18283253,46038,12,15
681,18292258,46056,11,14
682,18301253,46072,10,12
683,18310258,46087,9,10
684,18319254,46101,8,9
685,18328259,46112,7,8
686,18337255,46122,6,6
687,18346260,46131,5,6
688,18355255,46139,4,4
689,18364260,46145,4,3
690,18373256,46150,3,2
691,18382252,46154,2,1
692,18391257,46157,2,1
693,18400253,46159,1,0
694,18409258,46159,1,1
695,18418253,46160,0,0
696,18427250,46160,0,0
697,18436254,46160,0,0
698,18445250,46160,0,0
699,18454255,46160,0,0
700,18463251,46160,0,0
701,18472255,46160,0,0
702,18481252,46160,0,0
703,18490256,46160,0,0
